ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
34771,SAINT CLOUD,FL,10027,Orlando,98,514,,8141,131,616,,11242,36740,3,3,0,3,2,1,366249,187700,178549,352619,181948,170671,34,33,1,44,43,1,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,309,14,112,131,2.21,0.18,14.57,16.96,82
34744,KISSIMMEE,FL,30273,Orlando,733,6273,,121338,770,6680,,149307,36740,15,11,4,16,13,3,366249,187700,178549,352619,181948,170671,220,186,34,234,193,41,1786327,1432035,354292,1878709,1492857,385852,10,6,4,7,7,0,120552,78486,42066,137293,89935,47358,298,19,751,770,2.21,0.59,-0.27,2.53,83
34741,KISSIMMEE,FL,36345,Orlando,868,10745,,226340,906,12040,,291235,36740,17,5,12,17,6,11,366249,187700,178549,352619,181948,170671,254,219,35,292,245,47,1786327,1432035,354292,1878709,1492857,385852,25,16,9,8,6,2,120552,78486,42066,137293,89935,47358,296,19,924,906,2.21,1.14,-5.30,-1.95,84
34773,SAINT CLOUD,FL,1716,Orlando,8,46,,1444,11,84,,2552,36740,2,2,0,2,1,1,366249,187700,178549,352619,181948,170671,2,2,0,2,2,0,1038110,838615,199495,1099119,876356,222763,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,311,8,11,11,2.21,-2.26,0.05,0.00,85
33896,DAVENPORT,FL,0,Orlando,0,0,,0,19,908,A,0,36740,0,0,0,1,1,0,366249,187700,178549,352619,181948,170671,0,0,0,10,9,1,1330398,1092342,238056,1406122,1140819,265303,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,259,11,0,19,0.00,0.00,0.00,0.00,86
34769,SAINT CLOUD,FL,19529,Orlando,352,3938,,66652,357,3982,,79141,36740,11,8,3,12,8,4,366249,187700,178549,352619,181948,170671,88,77,11,87,76,11,1786327,1432035,354292,1878709,1492857,385852,10,6,4,3,2,1,120552,78486,42066,137293,89935,47358,308,18,373,357,2.21,0.28,-6.78,-4.29,87
34758,KISSIMMEE,FL,14934,Orlando,37,1251,,37780,54,1672,,49620,36740,8,5,3,8,0,8,366249,187700,178549,352619,181948,170671,8,8,0,10,9,1,1330398,1092342,238056,1406122,1140819,265303,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,304,13,48,54,2.21,-1.41,11.70,12.50,88
34772,SAINT CLOUD,FL,11478,Orlando,74,278,,6423,96,447,,11260,36740,2,2,0,2,1,1,366249,187700,178549,352619,181948,170671,25,23,2,26,26,0,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,310,15,84,96,2.21,0.06,12.02,14.29,89
34759,KISSIMMEE,FL,7941,Orlando,44,587,,7397,56,775,,19239,36740,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,19,15,4,19,16,3,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,305,12,51,56,2.21,0.92,6.67,9.80,90
34739,KENANSVILLE,FL,850,Orlando,11,25,,298,12,24,,427,36740,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,1,1,0,1,1,0,350880,259017,91863,362665,263176,99489,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,295,7,13,12,2.21,-0.36,-9.55,-7.69,91
33898,LAKE WALES,FL,0,Orlando,0,0,,0,77,322,,6066,36740,0,0,0,2,2,0,366249,187700,178549,352619,181948,170671,0,0,0,14,14,0,1330398,1092342,238056,1406122,1140819,265303,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,260,13,0,77,0.00,0.00,0.00,0.00,92
34972,OKEECHOBEE,FL,18195,Orlando,348,3289,,66287,317,3731,,97017,36740,18,13,5,15,9,6,366249,187700,178549,352619,181948,170671,56,47,9,53,42,11,1786327,1432035,354292,1878709,1492857,385852,12,8,4,7,2,5,120552,78486,42066,137293,89935,47358,316,19,358,317,2.21,-0.09,-13.57,-11.45,93
