districtID,ln_NTLpw2013,ln_NTLpw2020,ln_invSh2013,ln_invSh2020,ln_tert2013,ln_tert2020,ln_ngr2013,ln_ngr2020
3101,-5.5823436,-4.8597236,-2.9314995,-2.7009799,-3.187248,-3.7168574,-.1036507,.076872289
3171,-4.1594172,-4.1539183,-.75542927,-1.0033556,-1.6009222,-1.452166,-.038052343,.035713241
3172,-4.6272998,-4.2262688,-.79130465,-.97163624,-1.9274201,-1.3265327,.0081423223,-.022352144
3173,-4.092689,-3.8040478,-.96852505,-1.1977985,-1.5695453,-1.4629372,-.11075088,-.012687818
3174,-4.4801793,-4.3812809,-.52990741,-.76759005,-2.0244911,-1.9483956,.0083762119,.052537557
3175,-4.1453085,-3.8661523,-.60446078,-.73249286,-2.0157516,-1.9450059,-.18630102,.0068392609
3201,-4.7619028,-4.3141613,-1.4787912,-1.547753,-3.1078334,-2.1635742,.053089645,-.020127354
3202,-5.6138635,-5.2254028,-1.2467635,-1.2943579,-3.9355712,-3.0575178,-.0079039093,.023746083
3203,-5.5421247,-5.3332834,-1.3398774,-1.3875892,-3.5558946,-2.9174621,.012350804,.09395431
3204,-5.2802439,-4.7641425,-1.589718,-1.6508739,-3.2282243,-4.7463865,.045232601,-.0372945
3205,-5.7720594,-5.3001809,-1.3401713,-1.389098,-3.3286264,-2.9511926,.0035434191,.0037668808
3206,-5.9132972,-5.1927385,-1.5318003,-1.5397067,-3.3075759,-2.6729236,-.014582475,.085711382
3207,-6.3295965,-5.6798458,-1.3231852,-1.469229,-3.2230473,-2.8170154,-.027990766,.079625405
3208,-5.5654597,-4.6046042,-1.3107094,-1.433177,-3.2806771,-2.629566,-.0078526326,.039042305
3209,-5.7448473,-4.5151224,-1.0457604,-1.1936185,-4.49474,-2.8951533,-.01131419,-.002596681
3210,-6.2310276,-4.8140092,-1.0835487,-1.0758207,-3.0916412,-2.7111166,-.0056729978,.057280075
3211,-5.3286748,-4.77318,-1.2634225,-1.4616158,-2.8515131,-2.2397523,-.019087698,.11977332
