ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
98416,TACOMA,WA,954,Seattle,1,1750,B,0,2,1750,B,0,42660,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,0,0,0,0,0,0,1786327,1432035,354292,1878709,1492857,385852,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,705,2,2,2,2.21,2.49,-4.70,0.00,108
98405,TACOMA,WA,23527,Seattle,648,11652,,384472,646,12295,,468346,42660,11,8,3,11,10,1,366249,187700,178549,352619,181948,170671,131,105,26,127,106,21,1786327,1432035,354292,1878709,1492857,385852,6,2,4,11,6,5,120552,78486,42066,137293,89935,47358,700,19,650,646,2.21,1.06,-3.89,-0.62,109
98354,MILTON,WA,5412,Seattle,153,1492,,31826,193,1943,,42458,42660,7,5,2,7,3,4,366249,187700,178549,352619,181948,170671,33,27,6,35,27,8,1742649,1410483,332166,1831150,1468265,362885,2,1,1,1,1,0,120552,78486,42066,137293,89935,47358,686,17,237,193,2.21,0.27,-21.04,-18.57,110
98372,PUYALLUP,WA,22212,Seattle,407,5778,,151762,435,6004,,195445,42660,28,16,12,26,12,14,366249,187700,178549,352619,181948,170671,100,87,13,112,92,20,1786327,1432035,354292,1878709,1492857,385852,2,2,0,2,1,1,120552,78486,42066,137293,89935,47358,689,20,416,435,2.21,0.47,1.89,4.57,111
98390,SUMNER,WA,44751,Seattle,772,8453,,234532,820,10335,,318082,42660,35,16,19,34,13,21,366249,187700,178549,352619,181948,170671,202,170,32,196,163,33,1786327,1432035,354292,1878709,1492857,385852,15,15,0,6,5,1,120552,78486,42066,137293,89935,47358,695,21,1025,820,2.21,-0.11,-22.10,-20.00,112
98465,TACOMA,WA,7335,Seattle,94,1208,,18177,93,1113,,22190,42660,1,1,0,1,1,0,366249,187700,178549,352619,181948,170671,17,15,2,16,13,3,1742649,1410483,332166,1831150,1468265,362885,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,719,15,96,93,2.21,-0.01,-5.32,-3.13,113
98466,TACOMA,WA,25635,Seattle,625,5273,,120441,618,5445,,136764,42660,24,17,7,24,19,5,366249,187700,178549,352619,181948,170671,165,142,23,189,155,34,1742649,1410483,332166,1831150,1468265,362885,7,6,1,5,4,1,120552,78486,42066,137293,89935,47358,720,16,625,702,2.21,0.49,9.62,12.32,114
98371,PUYALLUP,WA,20713,Seattle,658,7529,,191326,670,7390,,223378,42660,28,17,11,25,17,8,366249,187700,178549,352619,181948,170671,116,99,17,133,110,23,1786327,1432035,354292,1878709,1492857,385852,4,4,0,11,6,5,120552,78486,42066,137293,89935,47358,688,19,658,702,2.21,-0.21,4.68,6.69,115
98409,TACOMA,WA,22964,Seattle,1210,21586,,560430,1149,22169,,622013,42660,72,29,43,75,29,46,366249,187700,178549,352619,181948,170671,226,177,49,237,165,72,1786327,1432035,354292,1878709,1492857,385852,22,14,8,14,6,8,120552,78486,42066,137293,89935,47358,704,19,1210,1249,2.21,-0.47,1.48,3.22,116
98321,BUCKLEY,WA,17058,Seattle,214,981,,21407,241,1237,,25790,42660,8,4,4,11,9,2,366249,187700,178549,352619,181948,170671,53,44,9,38,33,5,1742649,1410483,332166,1831150,1468265,362885,4,3,1,2,2,0,120552,78486,42066,137293,89935,47358,674,17,274,241,2.21,-0.31,-13.95,-12.04,117
