FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MUTLI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,POLYID
13051003800,Savannah,2764,740,208,514,2082,0,21,124,1269,1495,846,970,1319,1319,0,953,366,1340,658,682,96,175,0,32837,2756,469,61700,55
13051011104,Savannah,4888,1084,435,4396,175,105,49,62,2431,2457,1661,1708,2803,2741,62,1686,1055,2815,1458,1357,180,663,63,47762,4871,225,105900,56
13051004300,Savannah,2797,546,0,1372,920,81,321,32,1877,920,1682,569,1978,1736,242,1712,24,191,67,124,0,14,0,28897,1056,218,81800,57
13051004001,Savannah,4515,853,1143,3352,881,96,91,89,2079,2436,1204,1315,1986,1932,54,1582,350,1956,1055,901,90,431,24,38630,4496,426,112300,58
13051011103,Savannah,3696,460,689,3516,92,16,37,29,1800,1896,1242,1305,1901,1817,84,914,903,1913,1043,870,81,464,11,50368,3579,348,174600,59
13051003900,Savannah,4003,1001,690,2093,1701,96,66,47,1882,2121,1106,1206,1745,1733,12,1368,365,1749,848,901,147,208,14,42004,3917,376,75200,60
13051011105,Savannah,9325,2135,925,8558,359,259,102,31,4552,4773,3009,3256,5258,5086,172,3205,1881,5203,2703,2500,181,1717,133,65608,9309,286,143000,61
13051011004,Savannah,3767,1006,532,3541,69,46,48,23,1866,1901,1090,1139,1839,1784,55,1253,531,1856,1016,840,36,588,35,82852,3767,5,177300,62
13051010200,Savannah,4209,1066,542,1892,2176,25,65,45,1974,2235,1267,1334,1986,1944,42,1472,472,2014,990,1024,170,362,19,47264,4200,283,81800,63
13051004002,Savannah,3909,658,708,2824,817,141,96,25,1821,2088,1259,1284,1765,1721,44,1433,288,1677,883,794,93,410,42,36372,3772,539,97300,64
